epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6735,1.47345,4.26686,1.29644,0.002,0.6,0.59541,0.22458,1.8232,4.62178,1.25974,0.00022,0.00022,0.00022
2,26.1801,1.37235,3.50618,1.10596,0.00333,1,0.59698,0.37423,1.40313,3.88661,1.18757,0.000456205,0.000456205,0.000456205
3,38.6865,1.46388,2.92353,1.08742,0.00333,1,0.2103,0.15899,1.86007,4.92187,1.39169,0.00068845,0.00068845,0.00068845
4,50.7089,1.30327,2.58147,1.14005,0.00267,0.8,0.11483,0.06175,2.1772,4.59388,1.47913,0.000916735,0.000916735,0.000916735
5,62.9431,1.57423,3.20748,1.10471,0.00267,0.8,0.45609,0.16058,1.78794,4.71182,1.30463,0.00114106,0.00114106,0.00114106
6,74.8375,1.156,2.34635,1.04257,0.00333,1,0.20072,0.07936,1.95231,4.77589,1.42907,0.00136142,0.00136142,0.00136142
7,86.7959,1.73338,4.1459,1.09202,0.00333,1,0.20072,0.07936,1.95231,4.77589,1.42907,0.00157783,0.00157783,0.00157783
8,98.7059,1.38781,2.65377,1.10212,0.00267,0.8,0.00267,0.00115,1.8866,5.17228,1.52225,0.00179028,0.00179028,0.00179028
9,111.164,1.43336,2.59404,1.11254,0.89723,0.4,0.45725,0.30512,1.51044,4.5695,1.24345,0.001868,0.001868,0.001868
10,123.589,1.58338,2.44167,1.2075,0.50386,0.2,0.3229,0.27665,1.47168,4.04071,1.22921,0.0018515,0.0018515,0.0018515
11,138.983,1.29954,2.18936,1.11182,0.50386,0.2,0.3229,0.27665,1.47168,4.04071,1.22921,0.001835,0.001835,0.001835
12,153.039,1.55788,3.4987,1.24627,0.56565,0.8,0.71167,0.34964,1.88708,3.22337,1.81173,0.0018185,0.0018185,0.0018185
13,164.927,1.60967,2.25377,1.1878,0.42892,0.8,0.52516,0.2688,1.51488,4.20117,1.29817,0.001802,0.001802,0.001802
14,176.508,1.50472,2.43562,1.11181,0.70529,0.96221,0.82357,0.40257,1.62444,3.87687,1.3703,0.0017855,0.0017855,0.0017855
15,188.049,1.33297,2.10484,1.07672,0.70529,0.96221,0.82357,0.40257,1.62444,3.87687,1.3703,0.001769,0.001769,0.001769
16,203.644,1.24853,2.22693,1.08369,0.70936,0.97931,0.88071,0.43571,1.53643,3.23126,1.29475,0.0017525,0.0017525,0.0017525
17,220.042,1.36878,2.08806,1.08971,0.98116,0.8,0.895,0.48974,1.47225,3.25111,1.36692,0.001736,0.001736,0.001736
18,235.192,1.44158,2.99762,1.13623,0.56893,0.79302,0.66802,0.3092,1.60983,2.93176,1.57721,0.0017195,0.0017195,0.0017195
19,250.027,1.42373,2.05523,1.0706,0.56893,0.79302,0.66802,0.3092,1.60983,2.93176,1.57721,0.001703,0.001703,0.001703
20,264.56,1.59924,2.72277,1.14109,0.46187,0.86271,0.62833,0.25921,1.95735,3.00969,1.66624,0.0016865,0.0016865,0.0016865
21,279.092,1.51592,2.25733,1.19561,0.73171,0.8,0.78611,0.34155,1.73895,2.72925,1.38841,0.00167,0.00167,0.00167
22,293.726,1.28221,1.88218,1.07617,0.9232,0.6,0.80929,0.45214,1.42726,2.57402,1.22414,0.0016535,0.0016535,0.0016535
